573.58381|accn|JAURSH010000009_1|accn|JAURSH010000009_1:1;size=4	NZ_JBSJXU010000003.1	86.047	129	18	0	15	143	31367	31239	8.51e-24	113	NZ_JBSJXU010000003.1 Enterococcus alishanensis strain JNUCC 77 plasmid unnamed2, whole genome shotgun sequence
573.58381|accn|JAURSH010000009_1|accn|JAURSH010000009_1:1;size=4	NZ_JBSJXU010000003.1	85.271	129	19	0	15	143	31403	31275	2.08e-21	105	NZ_JBSJXU010000003.1 Enterococcus alishanensis strain JNUCC 77 plasmid unnamed2, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:46;size=2	NZ_JACGYC010000002.1	85.600	125	18	0	8	132	429134	429010	2.01e-21	105	NZ_JACGYC010000002.1 Staphylococcus aureus strain SA2028 map unlocalized plasmid unnamed NODE_2_length_578871_cov_33.101906, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:46;size=2	NZ_JACGYH010000003.1	85.600	125	18	0	8	132	164055	164179	2.01e-21	105	NZ_JACGYH010000003.1 Staphylococcus aureus strain SA2130 map unlocalized plasmid unnamed1 NODE_3_length_336323_cov_19.764840, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:46;size=2	NZ_JACGYS010000002.1	85.600	125	18	0	8	132	381870	381746	2.01e-21	105	NZ_JACGYS010000002.1 Staphylococcus aureus strain SA84 map unlocalized plasmid unnamed2 NODE_2_length_532077_cov_22.283668, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:46;size=2	NZ_SDWQ01000010.1	86.726	113	15	0	17	129	3419	3307	2.01e-21	105	NZ_SDWQ01000010.1 Staphylococcus aureus strain SCPM-O-B-8476 map unlocalized plasmid unnamed NODE_10_length_4097_cov_135.559446, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:46;size=2	NZ_SDWQ01000010.1	85.156	128	19	0	2	129	3452	3325	7.94e-21	103	NZ_SDWQ01000010.1 Staphylococcus aureus strain SCPM-O-B-8476 map unlocalized plasmid unnamed NODE_10_length_4097_cov_135.559446, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:46;size=2	NZ_SDWP01000152.1	86.726	113	15	0	17	129	33	145	2.01e-21	105	NZ_SDWP01000152.1 Staphylococcus aureus strain SCPM-O-B-8475 map unlocalized plasmid unnamed NODE_152_length_3645_cov_118.061399, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:46;size=2	NZ_SDWP01000152.1	85.039	127	19	0	3	129	1	127	3.14e-20	101	NZ_SDWP01000152.1 Staphylococcus aureus strain SCPM-O-B-8475 map unlocalized plasmid unnamed NODE_152_length_3645_cov_118.061399, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:53;size=4	NZ_SDWQ01000010.1	85.156	128	19	0	2	129	3452	3325	7.94e-21	103	NZ_SDWQ01000010.1 Staphylococcus aureus strain SCPM-O-B-8476 map unlocalized plasmid unnamed NODE_10_length_4097_cov_135.559446, whole genome shotgun sequence
573.59059|accn|JAVLVI010000001_1|accn|JAVLVI010000001_1:53;size=4	NZ_PXVB01000052.1	85.156	128	19	0	2	129	208	81	7.94e-21	103	NZ_PXVB01000052.1 Staphylococcus aureus strain SCPM-O-B-8380 map unlocalized plasmid unnamed NODE_52_length_853_cov_59.048209, whole genome shotgun sequence
