Feature,Coefficient,Odds_Ratio
Cas_I-E,0.8910045500162913,2.437577089902185
Spacer_Cluster_213,-0.35527657090621695,0.7009795458483892
Spacer_Cluster_14,-0.23017879519656173,0.7943915564106575
Cas_IV-A3,0.2279818801043344,1.2560625655035047
Spacer_Cluster_29,-0.16019933840464406,0.851973940911974
Spacer_Cluster_314,-0.15518880428501533,0.8562534978917326
Spacer_Cluster_7,-0.139448191124859,0.869838087369888
Spacer_Cluster_281,0.12926096703637277,1.137987062529623
Spacer_Cluster_110,-0.10907183462542515,0.8966660035181919
Spacer_Cluster_60,-0.10800458985870276,0.8976234764560546
Spacer_Cluster_257,-0.09777891924638817,0.9068493685354602
Spacer_Cluster_313,-0.09390828351917274,0.910366254001004
Spacer_Cluster_311,0.09313048676256327,1.0976049488404886
Spacer_Cluster_2,-0.09119706546363186,0.9128378043680275
Cas_II-D,0.08495856431699014,1.0886719558977405
Spacer_Cluster_67,-0.08158376592258393,0.9216555032967549
Spacer_Cluster_1,-0.08158376592258393,0.9216555032967549
Spacer_Cluster_270,-0.07985525487341104,0.9232499726496918
Spacer_Cluster_51,-0.0683103289903758,0.9339705904495958
Spacer_Cluster_220,0.05912379111467597,1.0609065634177535
Spacer_Cluster_703,-0.05229156969952888,0.9490521116591036
Spacer_Cluster_5,-0.05216047783430147,0.9491765328257422
Spacer_Cluster_293,0.051401777299578816,1.0527457776805391
Spacer_Cluster_421,-0.03043615183198534,0.9700223642409516
Spacer_Cluster_420,0.017108339288512204,1.017255525095312
