Feature,Coefficient,Odds_Ratio
Cas_IV-A3,-1.3905415307914044,0.24894045919960384
Spacer_Cluster_310,1.1620342179613568,3.1964289001996495
Spacer_Cluster_29,0.806697402243044,2.240496296454283
Cas_II-D,0.7844447362252317,2.1911899144960363
Cas_I-E,-0.6668644873464394,0.5133155645542171
Spacer_Cluster_281,0.5793048395566556,1.7847972789325288
Spacer_Cluster_306,-0.5184330695843374,0.5954528505354136
Spacer_Cluster_703,-0.4826946417903456,0.617118236725213
Spacer_Cluster_270,0.47957735598285084,1.6153915223332473
Spacer_Cluster_421,0.4352020333022429,1.5452752244728354
Spacer_Cluster_257,0.38156681036361406,1.464577507898637
Spacer_Cluster_265,0.3124837403632634,1.3668157170660735
Spacer_Cluster_314,-0.2911969956939026,0.7473684351519783
Spacer_Cluster_148,0.2694752164319159,1.3092771832638384
Spacer_Cluster_1,0.2443620982624617,1.2768065762379683
Spacer_Cluster_424,0.16843713520055692,1.1834538269188355
Spacer_Cluster_229,-0.16387778275438464,0.8488457591314704
Spacer_Cluster_14,0.15379891852091523,1.1662563506468135
Spacer_Cluster_51,0.13500264489084143,1.1445398115301764
Spacer_Cluster_7,0.11541923109678233,1.1223438604046727
Spacer_Cluster_221,-0.08270130673953954,0.9206260909649341
Spacer_Cluster_248,0.0737739490137759,1.0765634197656933
Spacer_Cluster_333,0.05239682241188571,1.053793828563602
Spacer_Cluster_110,0.03167237646023812,1.0321792836728738
Spacer_Cluster_213,-0.020930669542010723,0.9792868566222114
