Feature,Coefficient,Odds_Ratio
Cas_II-D,-3.7392726776109577,0.023771386306802367
Spacer_Cluster_298,-3.5063700037578873,0.030005637336455858
Spacer_Cluster_314,-3.29799272159637,0.03695727654057626
Spacer_Cluster_336,-3.2454086352098472,0.03895264368290728
Spacer_Cluster_420,-2.6834191737494693,0.06832912513834458
Spacer_Cluster_275,2.475542470572678,11.888154338118255
Spacer_Cluster_2,-2.4673423289044285,0.08480995672181575
Spacer_Cluster_421,2.276081045924885,9.738441026131246
Spacer_Cluster_293,2.223451973670782,9.239169250626551
Spacer_Cluster_265,-2.1967610189372393,0.1111626295398643
Spacer_Cluster_14,-2.0389809869293405,0.1301612793674121
Spacer_Cluster_7,-2.0389809869293405,0.1301612793674121
Spacer_Cluster_424,1.7841666658668758,5.954615694921062
Spacer_Cluster_266,1.7273100950287579,5.62550147387989
Spacer_Cluster_213,1.6965346677612998,5.455011174449474
Spacer_Cluster_281,-1.6721639373781703,0.18784015120454278
Spacer_Cluster_291,1.608199652000173,4.993812529470932
Spacer_Cluster_332,1.569544196007265,4.804457803569006
Spacer_Cluster_271,-1.2306720626488388,0.29209620475171405
Spacer_Cluster_248,1.2163655864811733,3.3748996362711035
Spacer_Cluster_257,-1.1703676473560343,0.3102528566528664
Spacer_Cluster_1,-1.1347227398942243,0.3215112512212611
Spacer_Cluster_51,1.1222071575486356,3.071626290165388
Spacer_Cluster_220,-0.9834094249033811,0.3740336827090732
Spacer_Cluster_311,0.9600232046006669,2.6117570774999908
